,Comments,Date,Disposition,Location,Occured,Reported,UCPDI
84,Ill person transported to ER by CFD EMS for evaluation and treatment,Information,Closed,1307 E. 60th St. (New Graduate RH),9/30/15 1:10 PM,9/30/15 1:10 PM,E00613
85,Individual was seen taking 10 medical books and placing them into a large bag before fleeing from the store without paying,Theft,Open,970 E. 58th St. (Bookstore),10/1/15 10:40 AM to 10:50 AM,10/1/15 10:52 AM,E00614
86,Cash taken from envelope in unsecured desk drawer in shared office,Theft,Open,5841 S. Maryland (Wyler Hospital),9/1/15 to 10/1/15 9:00 AM to 2:50 PM,10/1/15 2:51 PM,E00615
87,Unknown person broke lock on printer in room 056 and removed paper from trays,Theft,Open,1414 E. 59th St. (I-House),9/30/15 12:00 PM to 8:20 PM,10/1/15 3:55 PM,E00616
88,"Unattended, unsecured backpack taken from dining hall / Unauthorized attempt to use credit card subsequently reported / Complainant filed a report with the Chicago Police Dept. case Hy447636 / This incident is therefore unfounded",Theft,Unfounded,5640 S. University (Bartlett Commons),10/2/15 7:00 PM to 9:15 PM,10/2/15 10:02 PM,E00617
89,Injured person transported to ER by CFD EMS for evaluation and treatment / CPD case HY447758,Information / Medical Call,CPD,5125 S. Kenwood (Chicago Arms Apts.),10/3/15 3:00 AM,10/3/15 6:13 AM,E00618
90,Male subject struck girlfriend in the face with his fist off-campus / Arrested by UCPD officer,Battery / Domestic,Arrest,55th St. at Woodlawn (Public Way),10/3/15 4:09 PM,10/3/15 4:09 PM,E00619
91,"Unknown person(s) removed four 10"" metal letters from sign on northwest exterior wall of the building",Criminal Damage to Property,Open,5807 S. Woodlawn (Booth School),10/3/15 6:30 PM,10/3/15 6:47 PM,E00620
92,Visitor struck patient in the face with his fist during the course of a verbal argument / Suspect arrested by UCPD officers,Battery,Arrest,901 E. 58th St. (Mitchell ER),10/3/15 11:56 PM,10/3/15 11:56 PM,E00621
93,Information relating to a suspicious telephone call received by a staff member,Information,Closed,5730 S. Drexel,10/4/15 7:45 PM,10/4/15 8:06 PM,E00622
94,Number generated in error,Void,Void,Void,Void,Void,E00623
95,Ill person transported to ER by CFD EMS for evaluation and treatment,Medical Call,Closed,6031 S. Ellis (Granville-Grossman RH),10/4/15 8:40 PM,10/4/15 8:40 PM,E00624
96,Call regarding a person who may be in need of medical treatment / CPD also advised,Information,Closed,Blackstone between 57th & 58th,10/4/15 9:31 PM,10/4/15 9:31 PM,E00625
97,Staff member reports lost vehicle keys,Lost Property,Closed,901 E. 58th St.,10/3/15 to 10/4/15 11:55 PM to 12:00 AM,10/5/15 5:13 AM,E00626
98,Unknown suspect attempted to forcibly take victim's car and other property on the street off-campus / Suspect fled when victim called for help / CPD case HY450134,Information / Attempted Robbery / Vehicle Hijacking,CPD,Blackstone between 54th & 55th,10/5/15 10:00 AM,10/5/15 10:10 AM,
99,Report of suspicious calls received by staff,Information,Closed,5721 S. Maryland (Comer Hospital),10/4/15 to 10/5/15 6:00 PM to 10:25 AM,10/5/15 10:50 AM,E00627
100,Wallet taken from unattended purse left in unsecured office / Subsequent unauthorized use of credit card reported,Theft,Open,5640 S. Ellis (Eckhardt Research Center),10/5/15 7:15 AM to 12:30 PM,10/5/15 3:59 PM,E00628
101,"Victim, sitting in vehicle, approached by suspect who took keys and other property from victim before forcing victim from vehicle / UCPD officer arrived and detained suspect before he could drive off / Suspect turned over to CPD and charged with robbery / CPD investigation HY450349",Assist Other Agency / Aggravated Robbery / Vehicle Hijacking,CPD / Arrest,1224 E. Midway Pl.,10/5/15 12:13 PM,10/5/15 12:15 PM,E00629
102,Painting found on the exterior steps of the building was inventoried at UCPD HQ for safekeeping,Information,Closed,1160 E. 58th St. (Saieh Hall),10/6/15 8:57 AM,10/6/15 8:57 AM,E00630
103,Number generated in error,Void,Void,Void,Void,Void,E00631
104,Painting found on front lawn / Turned over to UCPD and inventoried for safekeeping,Found Property,Closed,5710 S. Woodlawn,10/6/15 7:30 AM,10/7/15 10:39 AM,E00632
105,Disturbed individual transported to hospital for evaluation and treatment,Mental Health Transport,Closed,5758 S. Maryland (Public Way),10/7/15 11:40 AM,10/7/15 11:40 AM,E00633
106,Individual found wallet on the public way and turned it over to UCPD / Inventoried for safekeeping,Found Property,Closed,5500 S. Drexel (Public Way),10/7/15 8:45 PM,10/7/15 7:20 PM,E00634
107,Individual transported to hospital for evaluation and treatment,Mental Health Transport,Closed,61st and Kimbark,10/7/15 9:12 PM,10/7/15 9:12 PM,E00635
108,"Unattended, unsecured head phones taken from 3rd floor cubicle",Theft,Open,1100 E. 57th St. (Regenstein Library),10/8/15 2:40 PM to 2:43 PM,10/8/15 2:44 PM,E00636
109,i-Pad taken from book bag left in unsecured locker in varsity locker room,Theft,Open,5530 S. Ellis (Ratner A.C.),10/8/15 7:00 AM to 8:45 AM,10/8/15 4:43 PM,E00637
110,"Subsequent to a well-being check, ill person transported to ER for evaluation and treatment",Information,Closed,E. 50th St. near Cornell,10/8/15 7:50 PM,10/8/15 2:14 PM,E00638
111,Ill person transported to ER by CFD EMS,Medical Call,Closed,5811 S. Ellis (Cobb Hall),10/8/15 9:09 PM,10/8/15 9:09 PM,E00639
112,Individual reports losing wallet somewhere on campus,Lost Property,Closed,1005 E. 60th St. (Burton-Judson RH),10/8/15 3:30 PM to 9:00 PM,10/8/15 10:02 PM,E00640
113,"Information relating to a person who indicated they may have, or felt the need to, possess a firearm",Information,Open,1155 E. 60th St. (Harris School),10/9/15 12:00 PM,10/9/15 3:13 PM,E00641
114,Unattended iPhone left in patient's bed missing after room was cleaned and bedding changed,Lost Property,Closed,5815 S. Maryland (Mitchell Hospital),10/9/15 9:15 AM to 12:00 PM,10/9/15 3:25 PM,E00642
115,Wood splinter from pool table lacerated right leg of individual / Transported to ER by CFD EMS,Injured Person,Closed,1009 E. 57th St. (Hitchcock RH),10/9/15 5:00 PM,10/9/15 5:05 PM,E00643
116,"As a result of a well-being check, individual transported to hospital for evaluation and treatment",Mental Health Transport,Closed,Kimbark between 57th & 58th,10/5/15 11:15 PM,10/5/15 11:15 PM,E00644
117,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Liquor Law Violation,Referred,1414 E. 59th St. (I-House),10/10/15 1:54 AM,10/10/15 1:54 AM,E00645
118,Unauthorized individual attempted to enter residence hall following a group of residents / Subject cautioned about trespass and sent on his way,Information,Closed,5630 S. University (Max Palevsky RH),10/10/15 2:42 AM,10/10/15 2:42 AM,E00646
119,"UCPD officers arrested an individual wanted on a warrant from Lansing, IL",Warrant Arrest,Arrest,1449 E. 57th St. (Public Way),10/10/15 5:25 PM,10/10/15 5:25 PM,E00647
120,Patient reports losing four rings while in examination area,Lost Property,Closed,5700 S. Maryland (CCD),10/9/15 to 10/10/15 11:00 AM to 2:00 PM,10/10/15 5:02 PM,E00648
121,Bicycle frame taken from bike rack leaving the front tire and lock secured to the rack,Theft,Open,5550 S. University (Crown Field House),10/6/15 to 10/10/15 8:00 PM to 11:45 PM,10/11/15 12:01 AM,E00649
122,"Unattended, unsecured iPhone taken from bleachers while owner played basketball",Theft,Open,5530 S. Ellis (Ratner A.C.),10/11/15 4:30 PM to 5:20 PM,10/11/15 5:53 PM,E00650
123,Vehicle struck pedestrian walking in crosswalk / Victim transported to ER by CFD EMS / CPD case HY458199,Information /Traffic Crash / Personal Injury,CPD,1120 E. Midway Pl.,10/11/15 6:20 PM,10/11/15 6:23 PM,E00651
124,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Liquor Law Violation,Referred,5630 S. University (Max Palevsky RH),10/12/15 12:27 AM,10/12/15 12:27 AM,E00652
125,UC owned vehicle involved in traffic crash / Property damage only / No injuries reported / MVA00423,Information / Traffic Crash,Closed,6054 S. Drexel (Parking Structure),10/12/15 2:31 PM,10/12/15 2:31 PM,E00653
126,Secured bicycle taken from bike rack,Theft,Open,"929 E, 57th St. (Gordon Center Bike Rack)",10/12/15 9:30 AM to 7:30 PM,10/12/15 8:13 PM,E00654
127,Secured bicycle taken from bike rack,Theft,Open,940 E. 57th St. (BSLC Bike Rack),10/12/15 8:00 PM to 10:30 PM,10/12/15 10:35 PM,E00655
128,Plastic milk crate under the rear porch was burning / Flames extinguished by occupant of nearby property / Cause unknown at this time / No other property damage and no personal injury resulted,Fire,Open,5310 S. Harper (Unoccupied Residence),10/12/15 5:38 PM,10/12/15 5:38 PM,E00656
129,Water line burst in 3rd floor closet / CFD and UCM Plant Engineer on the scene,Information,Closed,947 E. 58th St. (Abbot Hall),10/13/15 1:32 PM,10/13/15 1:32 PM,E00657
130,Individual reports losing wallet somewhere on campus between 1414 E. 59th St. and 1100 E. 57th St.,Lost Property,Closed,1100 E. 57th St. (Regenstein Library),10/13/15 10:30 AM to 2:50 PM,10/13/15 2:52 PM,E00658
131,Individual reports losing cell phone while on shuttle bus,Lost Property,Closed,1100 E. 57th St. (Shuttle Bus),10/13/15 6:45 PM to 7:05 PM,10/13/15 7:54 PM,E00659
132,UCPD assisted CPD in investigation of a reported criminal sexual assault by a known suspect / CPD case HY459056,Assist Other Agency / Criminal Sexual Assault,CPD,5714 S. Woodlawn (Fraternity House),10/12/15 12:20 AM,10/14/15 9:38 AM,E00661
133,Individual found a cell phone case containing miscellaneous cards and papers / Turned over to UCPD for safekeeping,Found Property,Closed,5500 S. Cornell (Public Way),10/9/15 7:00 PM,10/14/15 11:09 AM,E00662
134,Jacket taken from unsecured locker in secured locker room,Theft,Open,5530 S. Ellis (Ratner A.C.),10/13/15 to 10/14/15 6:30 PM to 6:20 AM,10/14/15 3:12 PM,E00663
135,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Liquor Law Violation,Referred,5625 S. Ellis (Max Palevsky RH),10/15/15 2:23 AM,10/15/15 2:23 AM,E00664
136,Secured bicycle taken from bike rack,Theft,Open,5530 S. Ellis (Ratner A.C. Bike Rack),10/14/15 3:15 PM to 6:30 PM,10/15/15 9:13 AM,E00665
137,Secured bicycle taken from bike rack,Theft,Open,1025 E. 57th St. (Culver Hall Bike Rack),10/13/15 to 10/14/15 8:00 AM to 8:00 AM,10/15/15 5:37 PM,E00666
138,UC owned vehicle involved in traffic crash / CPD case HY463451,Information / Traffic Crash,CPD,6030 S. Ellis,10/15/15 6:25 PM,10/15/15 6:25 PM,E00667
139,Individual injured right ankle while playing soccer / Transported to ER by CFD EMS,Injured Person,Closed,1130 E. Midway Pl.,10/16/15 12:00 AM,10/16/15 12:14 AM,E00668
140,Secured bicycle taken from bike rack,Theft,Open,951 E. 58th St. (Abbott Hall Bike Rack),10/16/15 9:00 AM to 4:15 PM,10/16/15 4:29 PM,E00669
141,Staff member bitten on arm and scratched on face while trying to restrain a disturbed patient / Victim declined to prosecute,Battery,Ex. Cleared,5700 S. Maryland (CCD),10/17/15 10:35 AM,10/17/15 10:41 AM,E00671
