,Comments,Date,Disposition,Location,Occured,Reported,UCPDI
38,Individual slipped and fell on icy sidewalk injuring his left ankle / Transported to ER by CFD EMS for evaluation and treatment,Injured Person,Closed,1155 E. 58th St. (Public Way),1/10/18 6:30 AM,1/10/18 6:32 AM,18-00035
39,"UCPD officers arrested a subject wanted on a warrant from Alsip, IL",Assist Other Agency / Warrant Arrest,Arrest,5824 S. Ellis (Public Way),1/10/18 12:24 PM,1/10/18 12:24 PM,18-00036
40,"Unattended, unsecured cell phone taken from table in dining hall",Theft,Open,6031 S. Ellis (Cathay Dining Hall),1/9/18 7:00 PM to 8:00 PM,1/10/18 8:25 PM,18-00037
41,UCPD officer recovered an unoccupied vehicle parked at the curb / Vehicle had been reported stolen to CPD,Recovered Vehicle,Closed,5655 S. Cottage Grove,1/10/18 9:14 PM,1/10/18 9:14 PM,18-00038
42,Boyfriend struck girlfriend in the face with his fist / Arrested by UCPD,Battery / Domestic,Arrest,5721 S. Maryland (Comer Hospital),1/11/18 2:35 AM,1/11/18 2:43 AM,18-00039
43,"Staff member placed purse on coat rack / After retrieving purse, straps broke and appear to have been lacerated",Information,Closed,860 E. 59th St. (Goldblatt Hospital),1/10/18 to 1/11/18 4:30 PM to 7:00 AM,1/11/18 9:57 AM,18-00040
44,Individual reports losing Android cell phone within the building,Lost Property,Closed,6045 S. Kenwood,1/11/18 10:50 AM to 1:00 PM,1/11/18 2:14 PM,18-00041
45,Individual lost wallet in the vicinity of 59th St. and University,Lost Property,Closed,59th St. near University,1/11/18 1:20 PM to 1:25 PM,1/11/18 3:00 PM,18-00042
46,Cell phone taken from patient's room,Theft,Open,5815 S. Maryland (Mitchell Hospital),1/11/18 4:05 PM to 4:10 PM,1/11/18 11:09 PM,18-00043
47,Domestic disturbance between girlfriend and boyfriend / Peace restored,Information / Disturbance,Closed,5721 S. Maryland (Comer Hospital),1/12/18 10:00 AM,1/12/18 10:05 AM,18-00045
48,"UCPD officer located a parked, unoccupied vehicle wanted for investigation by CPD / Turned over to CPD",Assist Other Agency,Closed,3722 S. Lake Park (Public Way),1/12/18 12:01 PM,1/12/18 12:01 PM,18-00046
49,"Individual reported his bicycle was taken from the bike rack, but later located the bike / No theft occurred",Information,Closed,1111 E. 60th St. (Law School Bike Rack),1/11/18 to 1/12/18 4:00 PM to 12:30 PM,1/12/18 2:32 PM,18-00047
50,"Two suspects, one armed with a handgun took a cell phone from an individual standing on the sidewalk off campus / CPD case JB114407",Information / Armed Robbery,CPD,5427 S. Greenwood (Public Way),1/12/18 11:00 PM,1/12/18 11:06 PM,18-00048
51,"Two unknown suspects, one armed with a handgun, took a purse from a victim walking on the sidewalk off campus before driving off in a Buick SUV / CPD case JB114439",Information / Armed Robbery,CPD,52nd St. between Kimbark & Kenwood,1/13/18 12:10 AM,1/13/18 12:27 AM,18-00049
52,"Four unknown suspects, one armed with a handgun, took cell phone, cash, and jewelry from a victim sitting in his parked car off campus / Suspects fled in a Dodge Caravan / CPD case JB114553",Information / Armed Robbery,CPD,49th St. between Ellis and Greenwood,1/13/18 3:55 AM,1/13/18 4:00 AM,18-00050
53,"Lyft driver reported two passengers, one implying a handgun (no weapon displayed), forced the driver from his 2010 Ford Focus and drove off / CPD case JB115280",Information / Aggravated Vehicular Hijacking,CPD,5600 S. Lake Park,1/13/18 6:10 PM,1/13/18 6:17 PM,18-00052
54,"Lyft driver was dropping off 3 passengers off campus when one passenger, armed with a handgun, forced victim from the 2014 black Nissan Rogue and drove off with his companions eastbound on 55th St. / CPD case JB115520",Information / Aggravated Vehicular Hijacking,CPD,5514 S. Blackstone,1/14/18 12:15 AM,1/14/18 12:16 AM,18-00053
55,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS for evaluation and treatment,Liquor Law Violation,Referred,1005 E. 60th St. (Burton-Judson RH),1/14/18 3:26 AM,1/14/18 3:26 AM,18-00054
56,Front passenger's side window of parked car was shattered,Criminal Damage to Property,Open,5757 S. Cottage Grove,1/14/18 12:01 AM to 12:30 PM,1/14/18 1:00 PM,18-00055
57,Ill person transported to ER by CFD EMS for evaluation and treatment,Medical Call,Closed,5500 S. University (Campus North RH),1/5/18 2:10 PM,1/15/18 2:10 PM,18-00056
58,Wallet taken from unattended purse left in office / Subsequent unauthorized use of credit card reported,Burglary,Open,929 E. 57th St. (Gordon Center),1/16/18 9:15 AM to 1:55 PM,1/16/18 3:04 PM,18-00057
59,"Jacket taken from 1st floor coatroom / Subsequent to investigation, the offender was identified and returned the victim's property / Victim declined to prosecute",Theft,Ex. Cleared,5550 S. Greenwood (Smart Museum),1/16/18 2:00 PM to 3:25 PM,1/16/18 3:40 PM,18-00058
60,"DSS was notified by a Campus Security Authority that an undisclosed victim reported being stalked on campus by a known suspect / Due to confidentiality of reporting, limited information is available regarding this incident",Stalking,No Investigation Referred to Title IX Coordinator,5500 S. University (Campus North RH),1/13/18 2:00 AM,1/17/18 1:55 PM,CSA Report    18-002
61,"DSS was notified by a Campus Security Authority that an undisclosed victim reported being stalked on campus by an ex-boyfriend / Due to confidentiality of reporting, limited information is available regarding this incident",Stalking,No Investigation Referred to Title IX Coordinator,1009 E. 57th St. (Snell-Hitchcock RH),12/13/17 Unknown time,1/17/18 2:37 PM,CSA Report    18-004
62,Underage individual became ill after consuming alcoholic beverages / Transported to ER for evaluation and treatment,Liquor Law Violation,Referred,1005 E. 60th St. (Public Way),1/18/18 1:39 AM,1/18/18 1:39 AM,18-00059
63,Information regarding Facebook postings,Information,Closed,5706 S. University (Reynolds Club),1/14/18 1:00 PM to 2:00 PM,1/18/18 3:17 PM,18-00060
64,Five unknown suspects forcibly took iPhone from victim walking on the sidewalk off campus / CPD case JB121186,Information / Robbery,CPD,5510 S. Hyde Park (Public Way),1/18/18 8:15 PM,1/18/18 8:15 PM,18-00061
65,"Subsequent to a stop for a traffic violation, UCPD officer arrested motorist for an active warrant from Marion County, Il",Warrant Arrest,Arrest,5317 S. Maryland,1/18/18 11:14 PM,1/18/18 11:14 PM,18-00062
66,"Two unknown subjects, one armed with a handgun, took the victim's car, as the victim was pumping gas / Fled southbound in victim's 2016 Hyundai Santa Fe / CPD case",Information / Robbery / Vehicle Hijacking,CPD,5130 S. Lake Park (Gas Station),1/19/18 8:35 AM,1/19/18 8:40 AM,18-00063
67,Unknown person(s) damaged the front panel of two washing machines in the laundry room,Criminal Damage to Property,Open,5482 S. Greenwood (Neighborhood Housing),1/18/18 to 1/19/18 1:30 PM to 7:00 AM,1/19/18 10:21 AM,18-00064
68,UCPD officers arrested a subject who had been previously banned from University property for repeated trespass,Criminal Trespass to Land,Arrest,5807 S. Woodlawn (Booth School),1/19/18 11:44 AM,1/19/18 11:44 AM,18-00065
69,"Wallet taken from backpack left in unsecured locker in women's locker room / Subsequent unauthorized use of debit card reported / Subsequent to follow up investigation, the suspect was positively identified, but the victim declined to prosecute",Theft,Ex. Cleared,5550 S. University (Crown Field House),1/19/18 2:00 PM to 3:00 PM,1/19/18 6:08 PM,18-00066
70,"Individual walking out of the main entrance, slipped and fell causing laceration on left side of face / Medical attention declined",Injured Person,Closed,1155 E. 57th St. (Quadrangle Club),1/19/18 7:15 PM,1/19/17 7:27 PM,18-00067
71,Underage individual became ill after consuming alcoholic beverages / Transported to hospital by CFD EMS,Liquor Law Violation,Referred,6031 S. Ellis (Granville-Grossman RH),1/19/18 7:49 PM,1/19/18 7:49 PM,18-00068
72,Staff member found illegal narcotics in patient's room / Inventoried at UCPD for proper disposal,Found Narcotics,Closed,5700 S. Maryland (CCD),1/20/18 8:30 AM,1/20/18 8:34 AM,18-00069
73,Individual found deceased in his apartment / CPD case JB122988,Information / Death Investigation,CPD,Kimbark between 57th & 58th,1/20/18 11:41 AM,1/20/18 11:41 AM,18-00070
74,Unknown person(s) entered off campus private apartment by breaking rear window and took property / CPD case JB123790,Information / Burglary,CPD,Woodlawn between 61st & 62nd,1/20/18 to 1/21/18 3:30 PM to 1:30 AM,1/21/18 1:53 AM,18-00071
75,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Liquor Law Violation,Referred,5500 S. University (Campus North RH),1/21/18 3:16 AM,1/21/18 3:16 AM,18-00072
76,"Three subjects, one armed with a knife, took a wallet from victim walking on the sidewalk off campus / Responding CPD and UCPD officers arrested suspects  at 50th & Ellis / Victim's property and knife recovered from suspect / CPD case JB124082",Information / Armed Robbery,CPD / Arrest,1162 E. 52nd St. (Public Way),1/21/18 10:50 AM,1/21/18 10:54 AM,18-00073
77,Individual found a medical testing kit on the public way / Inventoried at UCPD / Owner contacted,Found Property,Closed,5900 S. Ellis (Public Way),1/19/18 11:55 AM,1/19/18 11:55 AM,18-00074
78,"UCPD officer recovered a stolen unoccupied, parked vehicle upon notification by in-car license plate reader",Recovered Motor Vehicle,CPD,1070 E. 57th St.,1/21/18 5:06 PM,1/21/18 5:06 PM,18-00075
79,"Ambulance, backing up, struck and damaged a shower head in decontamination unit / CPD report JB124836",Traffic Crash / Property Damage,Closed,5656 S. Maryland (Ambulance Bay),1/22/18 1:40 AM,1/22/18 1:40 AM,18-00076
80,"Subject took merchandise from off campus drug store without paying / Suspect detained by UCPD officer, but management declined prosecution after goods were returned / Subject released",Theft,Ex. Cleared,1228 E. 53rd St. (CVS),1/22/18 4:15 AM,1/22/18 4:15 AM,18-00077
81,An elementary school student had possession of a folding knife in a book bag / Knife confiscated by school personnel,Information,Referred,707 E. 37th St. (Donoghue School),1/19/18 10:00 AM,1/22/18 11:08 AM,18-00079
82,Individual reports losing wallet while in the Harris School building,Lost Property,Closed,1155 E. 60th St. (Harris School),1/22/18 9:15 AM to 9:40 AM,1/22/18 11:26 AM,18-00080
83,Unknown subject was seen taking items of food from café and fleeing to a CTA bus,Theft,Open,5758 S. Maryland (DCAM Café),1/22/18 1:45 PM,1/22/18 1:50 PM,18-00081
84,UCPD officer discovered an individual was wanted by CPD as a mentally endangered person / Subject returned to  Illinois Masonic MC for continuation of treatment,Information,Closed,5400 S. Woodlawn,1/22/18 1:21 PM,1/22/18 1:21 PM,18-00082
85,Argument between merchant and customer regarding store policy / Peace restored,Disturbance,Closed,1502 E. 55th St.,1/22/18 2:52 PM,1/22/18 2:52 PM,18-00083
86,Unauthorized subject ignored previous trespass warnings and was arrested by UCPD,Criminal Trespass to Land,Arrest,5815 S. Maryland (Mitchell Hospital),1/23/18 7:35 AM,1/23/18 7:40 AM,18-00084
87,UC owned vehicle involved in traffic crash / Property damage only / No injuries reported 2018-MVA00009,Traffic Crash,Closed,5050 S. Lake Shore Dr.,1/18/18 at 7:50 AM,1/23/18 9:41 AM,18-00085
88,2 new MacBook computers delivered to the facility were taken by person(s) unknown,Theft,Open,6030 S. Ellis (Edelstone),1/4/18 to 1/18/18 1:30 PM to 5:00 PM,1/23/18 9:44 AM,18-00086
89,Report of lost UC ID,Lost Property,Closed,850 E. 61st St. (UCPD HQ),1/23/18 7:40 PM,1/23/18 8:07 PM,18-00087
90,"Delayed report - Visitor struck patient during an altercation / Suspect not on scene when UCPD was notified of the incident / Subsequent to follow up investigation, victim declined to prosecute known suspect",Battery,Ex Cleared,5700 S. Maryland (CCD),1/16/18 2:00 AM,1/24/18 7:10 PM,18-00088
91,Two subjects took food from the café without paying / Arrested by UCPD officers,Theft,Arrest,5758 S. Maryland (DCAM Café),1/25/18 3:10 PM,1/25/18 3:15 PM,18-00089
92,Book bag taken from bicycle secured to bike rack,Theft,Open,1100 E. 57th St. (Regenstein Bike Rack),1/25/18 6:00 PM to 10:10 PM,1/25/18 10:11 PM,18-00090
93,Staff member reports  receiving unwanted email messages from a known person,Information,Closed,5839 S. Maryland (Wyler Hospital),8/30/17 to 1/18/18 various times,1/26/18 9:25 AM,18-00091
94,Student threatened teacher / CPD  case,Information / Threat,CPD,6300 S. University (Charter School),1/25/18 12:00 PM,1/26/18 10:55 AM,18-00092
95,Individual reports losing cell phone,Lost Property,Closed,5656 S. Maryland  (UCM ER),1/26/18 10:45 AM,1/26/18 11:03 AM,18-00093
96,Number generated in error,Void,Void,Void,Void,Void,18-00094
97,Subject took purse from car as victim was pumping gas / Suspect ran to waiting vehicle that sped off striking victim who tried to retrieve purse / Victim transported to ER by CFD EMS for treatment / CPD case JB 130347,Information / Theft,CPD,5130 S. Lake Park (Gas Station),1/26/18 12:34 PM,1/26/18 12:36 PM,18-00095
98,Sick person transported to ER by CFD EMS for evaluation and treatment,Medical Call,Closed,929 E. 57th St. (Gordon Center),1/26/18 2:37 PM,1/26/18 2:37 PM,18-00096
99,Sick person transported to ER by CFD EMS for evaluation and treatment,Medical Call,Closed,5807 S. Woodlawn (Booth School),1/26/18 5:10 PM,1/26/18 5:10 PM,18-00097
100,Individual transported to ER for evaluation and treatment,Mental Health Transport,Closed,5555 S. Woodlawn (Student Counseling Services),1/26/18 5:16 PM,1/26/18 5:16 PM,18-00098
101,Suspect armed with a handgun took property from a victim walking on the public way off campus / Victim saw suspects rob a second person (see 18-00100) re-enter a waiting black Porsche and drive off / CPD case JB130980,Information / Armed Robbery,CPD,1350 E. Madison Park (Sidewalk),1/26/18 6:15 PM,1/26/18 7:10 PM,18-00099
102,Two suspects armed with a handgun took property from a victim walking on the sidewalk off campus / Suspects entered a waiting black vehicle and drove off / CPD officers pursued a black Porsche and took 4 suspects into custody and recovered 2 handguns / CPD case JB130894,Information / Armed Robbery,CPD,1350 E. Madison Park (Sidewalk),1/26/18 6:20 PM,1/26/18 6:20 PM,18-00100
103,"Unattended, unsecured backpack taken from under desk in workstation",Theft,Open,5700 S. Maryland (CCD),1/27/18 8:00 PM to 11:00 PM,1/27/18 11:09 PM,18-00101
104,Unknown person took jacket from 1st floor coat rack,Theft,Open,5807 S. Woodlawn (Booth School),1/25/18 4:30 PM to 8:30 PM,1/29/18 7:12 PM,18-00102
105,Domestic related disturbance between mother and child / Peace restored / CPD case JB134876,Information / Disturbance,CPD,6300 S. University (UC Charter School),1/30/18 8:30 AM,1/30/18 8:47 AM,18-00103
106,Victim reports wallet was lost from her pocket / Subsequent unauthorized use of debit card reported,Lost Property,Closed,5800 S. Ellis (Public Way),1/30/18 8:45 AM to 10:30 AM,1/30/18 12:45 PM,18-00104
107,"DSS was notified by a Campus Security Authority that an undisclosed victim reported being stalked by an ex-boyfriend / Due to confidentiality of reporting, limited information is available regarding this incident",Stalking,No Investigation Referred to Title IX Coordinator,1414 E. 59th St. (I-House),12/17-1/18 Unknown dates/times,1/30/18 1:19 PM,CSA Report    18-006
108,"Unknown suspect(s) punched door lock of vehicle parked on the street and took in-dash stereo system, laptop, and other items",Theft from Motor Vehicle,Open,860 E. Midway Pl.,1/30/18 1:30 PM to 4:30 PM,1/30/18 4:52 PM,18-00105
109,"DSS was notified by a Campus Security Authority that an undisclosed victim reported that she was fondled by an acquaintance in the residence hall / Due to confidentiality of reporting, limited information is available regarding this incident",Sexual Assault / Fondling,No Investigation Referred to Title IX Coordinator,1005 E. 60th St. (Burton-Judson RH),1/27/18 2:00 AM,1/30/18 10:14 PM,CSA Report    18-007
110,"Two unknown suspects, one armed with a handgun, took a cell phone and wallet from an individual walking on the sidewalk off campus / CPD case JB135909",Information / Armed Robbery,CPD,955 E. 62nd St. (Public Way),1/31/18 6:35 AM,1/31/18 6:57 AM,18-00106
111,Bicycle secured to building railing taken,Theft,Open,5835 S. Kimbark (Lab School),1/31/18 2:35 PM to 4:50 PM,1/31/18 4:57 PM,18-00107
112,Patient's cell phone lost between 5656 S. Maryland and 5815 S. Maryland,Lost Property,Closed,5656 S. Maryland (UCM ER),1/27/18 to 1/29/18 3:00 AM to 1:00 PM,1/31/18 4:34 PM,18-00108
113,Headlight taken from bicycle secured to bike rack,Theft,Open,5845 S. Ellis (Goodspeed Bike Rack),1/31/18 5:00 PM to 8:10 PM,1/31/18 8:46 PM,18-00109
114,"DSS was notified by a Campus Security Authority that an undisclosed victim reported that she was fondled by an acquaintance in the residence hall / Due to confidentiality of reporting, limited information is available regarding this incident",Sexual Assault / Fondling,No Investigation Referred to Title IX Coordinator,1005 E. 60th St. (Burton-Judson RH),10/1/17 unknown time,2/1/18 11:22 AM,CSA Report    18-008
115,"DSS was notified by a Campus Security Authority that an undisclosed victim reported that she was sexually assaulted by an acquaintance / Due to confidentiality of reporting, limited information is available regarding this incident.",Criminal Sexual Assault,No Investigation Referred to Title IX Coordinator,1005 E. 60th St. (Burton-Judson RH),11/15/17 unknown time,2/1/18 4:07 PM,CSA Report    18-009
116,An individual walking in the alley off campus was approached by two unknown suspects who pushed the victim to the ground and kicked him / The suspects took the victims laptop computer and fled on foot / The victim was transported to the hospital by CFD EMS for evaluation and treatment / CPD case JB138830,Information / Robbery,CPD,Hyde Park between 54th & 55th,2/2/18 2:15 PM,2/2/18 2:28 PM,18-00111
117,"Unattended, unsecured backpack left in mail room was taken by unknown person",Theft,Open,1101 E. 56th St. (Max Palevsky RH),2/1/18 to 2/2/18 10:30 PM to 8:00 AM,2/2/18 6:31 PM,18-00112
118,Small quantity of marijuana found in patient's room / Inventoried at UCPD for proper disposal,Narcotics,Closed,5700 S. Maryland (CCD),2/2/18 7:45 PM,2/2/18 7:54 PM,18-00113
119,Individual transported to ER for evaluation and treatment,Mental Health Transport,Closed,Hyde Park between Kenwood and Dorchester,2/2/18 9:59 PM,2/2/18 9:59 PM,18-00114
120,Patient struck staff member with his fist / Victim declined prosecution,Battery,Ex. Cleared,5656 S. Maryland (Emergency Room),2/4/18 5:05 PM,2/4/18 5:50 PM,18-00115
121,Sick person transported to ER for evaluation and treatment / CPD case JB141481,Information,CPD,1330 E. 53rd St. (Vue 53),2/5/18 3:15 AM,2/5/18 3:15 AM,18-00116
122,First Transit supervisor turned over two wallets found on UC Shuttle buses / Inventoried at UCPD and held for owners,Found Property,Closed,850 E. 61st St. (UCPD HQ),2/5/18 10:18 AM,2/5/18 10:18 AM,18-00117
123,Laptop computer taken from book bag placed in unsecured locker in 1st floor women's locker room,Theft,Open,5550 S. University (Crown Field House),2/5/18 12:45 PM to 1:30 PM,2/5/18 1:53 PM,18-00118
124,Accidental grease fire in oven in 3rd floor apartment / Fire was extinguished with fire extinguisher / No injuries or property damage reported / CFD responded,Fire,Closed,1005 E. 60th St. Burton-Judson RH,2/5/18 3:28 PM,2/5/18 3:28 PM,18-00120
125,Individual walking on the sidewalk off campus was shot in the right foot by unknown persons in apparent targeted shooting / CPD case JB142320,Information / Aggravated Battery,CPD,4600 S. Ellis (Public Way),2/5/18 5:55 PM,2/5/18 5:56 PM,18-00121
126,Individual reports loss of wallet at unknown location on campus during stated time period / Subsequent report of illegal use of credit card reported,Lost Property,Closed,5500 S. University (Campus North RH),2/5/18 9:00 AM to 6:45 PM,2/5/18 8:46 PM,18-00122
127,Individual transported to ER by CFD EMS for evaluation and treatment,Mental Health Transport,Closed,1414 E. 59th St. (I-House),2/5/18 10:24 PM,2/5/18 10:24 PM,18-00123
128,Individual transported to ER for evaluation and treatment,Mental Health Transport,Closed,5555 S. Woodlawn (Student Counseling Service),2/6/18 11:28 AM,2/6/18 11:28 AM,18-00124
129,Victim reports ring taken from coin holder in parked vehicle,Theft,Open,5721 S. Maryland (Comer Hospital),2/6/18 9:30 AM to 11:50 AM,2/6/18 12:14 PM,18-00125
130,Passenger side front window smashed in vehicle parked at the curb,Criminal Damage to Vehicle,Open,5721 S. Cottage Grove,2/6/18 5:00 PM to 10:15 PM,2/6/18 10:22 PM,18-00126
131,Passenger side front window smashed in vehicle parked at the curb,Criminal Damage to Vehicle,Open,5745 S. Cottage Grove,2/6/18 7:00 PM to 10:45 PM,2/6/18 10:45 PM,18-00127
132,Water leak observed inside main entrance / Believed to originate from broken water pipe inside wall / Facilities Services on scene,Information,Closed,5735 S. Ellis (Searle Lab),2/6/18 11:33 PM,2/6/18 11:33 PM,18-00128
133,Individual walking on ground level of parking structure slipped and fell to the floor / Declined medical attention at this time,Information,Closed,5505 S. Ellis (Ellis Parking Structure),2/7/18 1:20 PM,2/7/18 1:33 PM,18-00129
134,Shoulder bag taken from unsecured locker in women's locker room,Theft,Open,5530 S. Ellis,2/7/18 12:20 PM to 1:15 PM,2/7/18 1:31 PM,18-00130
135,Unknown person unlawfully entered office and took wallet from purse left under desk / Unauthorized use of credit card reported,Burglary,Open,970 E. 58th St. (Bookstore),2/6/18 1:10 PM to 3:20 PM,2/8/18 12:41 PM,18-00131
136,First Transit supervisor turned over a wallet found on a UC Shuttle Bus / Inventoried for safe keeping at UCPD,Found Property,Closed,850 E. 61st St. (UCPD HQ),2/8/18 12:31 PM,2/8/18 12:31 PM,18-00132
