,Comments,Date,Disposition,Location,Occured,Reported,UCPDI
23,Unknown suspect shattered window near entrance / Suspect fled prior to police arrival,Criminal Damage to Property,Open,969 E. 61st St. (SSA),1/10/19 4:20 AM,1/10/19 4:48 AM,19-00024
24,Unknown person(s) shattered glass in door to room 170 / Also broke a small table in the hallway,Criminal Damage to Property,Open,6030 S. Ellis (Edelstone),1/9/19 to 1/10/19 11:00 PM to 6:45 AM,1/10/19 6:53 AM,19-00025
25,Individual complained a known person brushed by them while entering a classroom,Information,Closed,5757 S. University (Saieh Hall),1/10/19 10:50 AM,1/10/19 11:10 AM,19-00026
26,Secured bicycle taken from bike rack,Theft,Open,1101 E. 58th St. (Rosenwald Hall Bike Rack),1/7/19 9:30 AM to 1:00 PM,1/10/19 1:37 PM,19-00027
27,Two people suffered gunshot wounds as the result of a drive-by shooting on the street off campus / CFD EMS transported the injured to the hospital / CPD case,Information / Aggravated Battery,CPD,5058 S. Drexel (Public Way),1/10/19 3:00 PM,1/10/19 3:03 PM,19-00028
28,Injured person transported by CFD EMS to UCMED for treatment,Medical Call,Closed,50th Pl. between Cornell & East End,1/11/19 10:49 AM,1/11/19 10:49 AM,19-00029
29,Information relating to a confrontation with an unknown person,Information,Closed,5500 S. Ellis (Public Way),1/10/19 3:00 PM,1/10/19 3:07 PM,19-00030
30,Victim was shot during the course of an argument with a known associate in an off campus private apartment / Suspect fled prior to police arrival / CPD case JC113053,Information / Aggravated Battery,CPD,Drexel between 46th & 47th (Private Apartment),1/11/19 3:05 PM,1/11/19 3:08 PM,19-00031
31,A person was reported missing by a family member  / Notification made to CPD and other agencies,Missing Person,Open,850 E. 61st St. (UCPD HQ),1/6/19 2:00 PM,1/11/19 10:43 PM,19-00032
32,An underage individual became ill after consuming alcoholic beverages / Transported to UCMED by CFD EMS for evaluation and treatment,Liquor Law Violation,Referred,1005 E. 60th St. (Burton-Judson RH),1/12/19 1:46 AM,1/12/19 1:46 AM,19-00033
33,Sick person transported to UCMED for evaluation and treatment,Medical Call,Closed,5700 S. Stony Island (5700 Stony Island RH),1/12/19 6:04 AM,1/12/19 6:04 AM,19-00034
34,A tire was taken from a bicycle secured to a bike rack,Theft,Open,5500 S. University (Campus North RH),1/8/19 to 1/12/19 2:00 PM to 11:30 AM,1/12/19 11:40 AM,19-00035
35,A person banned from campus was seen attending an event at the Logan Center / Individual left prior to notification to UCPD,Criminal Trespass to Land,Closed,915 E. 60th St. (Logan Center),1/12/19 4:00 PM to 9:00 PM,1/12/19 9:55 PM,19-00036
36,Staff member found suspect marijuana among a patient's possessions / Turned over to UCPD for proper disposal,Found Narcotics,Closed,5700 S. Maryland (CCD),1/13/19 1:21 AM,1/13/19 1:21 AM,19-00037
37,An underage individual became ill after consuming alcoholic beverages / Transported to UCMED by CFD EMS,Liquor Law Violation,Referred,1101 E. 56th St. (Max Palevsky RH),1/13/19 1:26 AM,1/13/19 1:26 AM,19-00038
38,Number generated in error,Void,Void,Void,Void,Void,19-00039
39,"DSS was notified by a Campus Security Authority that an undisclosed victim reported being stalked on campus by a known individual / Due to confidentiality of reporting, limited information is available regarding this incident",Stalking,No Investigation Referred to Title IX Coordinator,969 E. 60th St. (SSA),9/1/17 to 11/1/18 Various times,1/14/19 4:18 PM,CSA Report    19-001
40,"An individual walking on the sidewalk off campus was grabbed by an unknown subject who forcibly attempted to take property from the victim / After a struggle, the suspect fled and was taken into custody by CPD officers / CPD case JC117196",Information / Attempt Robbery,CPD/Arrest,1451 E. 52nd St. (Public Way),1/14/19 10:00 PM,1/14/19 10:07 PM,19-00040
41,Staff member found suspect narcotics in a patient's room / Substance turned over to UCPD for proper disposal,Found Narcotics,Closed,5700 S. Maryland (CCD),1/15/19 11:43 AM,1/15/19 11:43 AM,19-00041
42,Unknown suspect was observed leaving the caf� without paying for food,Theft,Open,5706 S. University (Reynolds Club),1/15/19 11:45 AM,1/15/19 12:05 PM,19-00042
43,UCPD officer detained an individual who had taken merchandise from the store without paying / Management declined to prosecute,Theft,Ex. Cleared,1346 E. 53rd St. (Target),1/15/19 11:40 AM,1/15/19 11:46 AM,19-00043
44,An individual became dizzy and fell into a door jamb resulting in a laceration to the forehead / Transported to UCMED by CFD EMS,Medical Call / Injured Person,Closed,5700 S. Stony Island (Stony Island RH),1/15/19 7:25 PM,1/15/19 7:31 PM,19-00045
45,A purse and a cell phone found in the alley turned over to UCPD for safekeeping,Found Property,Closed,5722 S. Kenwood (Alley),1/15/19 6:30 PM,1/15/19 7:56 PM,19-00046
46,"Two unknown suspects, armed with handguns, took property from two victims walking on the sidewalk off campus / Suspects fled to a waiting vehicle / CPD case JC118457",Information /  Armed Robbery,CPD,5312 S. Cornell (Public Way),1/15/19 10:40 PM,1/15/19 10:44 PM,19-00047
47,"Two unknown suspects, armed with handguns, followed a victim into a private apartment building off campus and demanded his jacket / Suspects fled to a waiting vehicle after a witness appeared / CPD case JC118516",Information / Attempt Armed Robbery,CPD,Harper between 51st & 52nd,1/16/19 12:35 AM,1/16/19 12:45 AM,19-00048
48,"Unattended, unsecured wallet taken from unlocked car parked on the street off campus / Referred to CPD",Information / Theft,CPD,5400 S. Kimbark (Public Way),1/12/19 8:00 PM to 8:05 PM,1/16/19 1:36 PM,19-00049
49,Staff member found three small plastic baggies of suspect narcotics in patient's room / Contraband turned over to UCPD for proper disposal,Found Narcotics,Closed,5700 S. Maryland (CCD),1/16/19 8:40 PM,1/16/19 9:09 PM,19-00050
50,Staff member reported the loss of issued equipment,Lost Property,Closed,850 E. 61st St. (UCPD HQ),1/13/19 6:30 PM to 6:45 PM,1/16/19 11:00 PM,19-00051
51,An underage individual became ill after consuming alcoholic beverages / Transported to UCMED by CFD EMS for evaluation and treatment,Liquor Law Violation,Referred,1330 E. 53rd St. (Vue 53),1/17/19 12:44 AM,1/17/19 12:44 AM,19-00052
52,"In-car license plate reader notified UCPD officer of an unoccupied vehicle parked on the street that had been reported stolen in Dolton, IL / Turned over to Dolton PD",Assist Other Agency / Recovered Vehicle,Closed,5044 S. Drexel,1/17/19 6:12 AM,1/17/19 6:12 AM,19-00053
53,Two unknown subjects forcibly took a wallet from a person walking on the sidewalk off campus / CPD case,Information /  Robbery,CPD,5400 S. Hyde Park,1/17/19 6:20 PM,1/17/19 6:27 PM,19-00054
54,Secured bicycle taken from bike rack,Theft,Open,1118 E. 58th ST. (Eckhart Bike Rack),1/17/19 4:05 PM to 6:50 PM,1/17/19 6:50 PM,19-00055
55,Unknown person(s) cut a chain and took contractor's pipe threading machine and a generator,Theft,Open,5840 S. Maryland (Parking Structure),1/17/19 2:00 PM to 7:00 PM,1/17/19 7:25 PM,19-00056
56,Staff member found suspect narcotics in patient's room / Contraband turned over to UCPD for proper disposal,Found Narcotics,Closed,5700 S. Maryland (CCD),1/17/19 9:44 PM,1/17/19 9:44 PM,19-00057
57,Staff member found several baggies of narcotics in patient's room / Contraband turned over to UCPD for proper disposal,Found Narcotics,Closed,5700 S. Maryland (CCD),1/18/19 9:40 AM,1/18/19 9:44 AM,19-00058
58,Investigation of harassing phone calls,Harassment by Telephone,Open,850 E. 61st St. (UCPD HQ),1/9/19 to 1/10/19 3:30 PM to 8:00 AM,1/18/19 1:56 PM,19-00059
59,An individual was transported to the UCMED for evaluation,Mental Health Transport,Closed,5500 S. Woodlawn (Public Way),1/18/19 11:40 PM,1/18/19 11:40 PM,19-00060
60,Unknown suspects smashed the glass front door of an off campus business and took merchandise / CPD case JC122364,Information / Burglary,CPD,53rd Street between Woodlawn and Kimbark (Business),1/19/19 4:35 AM,1/19/19 4:46 AM,19-00061
61,Unknown person placed a sticker on victim's unoccupied parked vehicle,Criminal Damage to Vehicle,Open,5730 S. Ellis (Public Way),1/8/19 4:30 PM to 8:30 PM,1/19/19 1:48 PM,19-00062
62,Patient reports losing cell phone that was left in the bed while patient was out of the room,Lost Property,Closed,5700 S. Maryland (CCD),1/18/19 12:45 PM to 2:00 PM,1/19/19 3:44 PM,19-00063
63,Unknown person placed stickers on victim's unoccupied parked vehicle,Criminal Damage to Vehicle,Open,1027 E. 57th St. (Public Way),1/15/19 5:00 PM to 8:30 PM,1/19/19 1:48 PM,19-00064
64,"An unknown suspect, armed with a handgun, demanded property from a victim working on the street  off campus / A witness armed with a handgun, fired shots and the suspect fled to a waiting vehicle that sped off / CPD case JC122883",Information / Attempt Armed Robbery,CPD,5604 S. Harper (Public Way),1/19/19 6:10 PM,1/19/19 6:26 PM,19-00065
65,Person handed over a counterfeit $100 bill to UCPD officer / Property inventoried by UCPD,Found Property,Closed,5700 S. Drexel (Starbucks),1/21/19 4:00 PM,1/21/19 10:41 PM,19-00067
66,"An individual riding a bicycle on the street off campus was approached by 3 suspects, one armed with a handgun / The suspects took the victim's property and fled to a waiting vehicle / CPD case JC125025",Information / Armed Robbery,CPD,5400 S. Drexel (Public Way),1/22/19 12:30 AM,1/22/19 12:41 AM,19-00068
67,"DSS was notified by a Campus Security Authority that an undisclosed victim reported being stalked on campus by a known individual / Due to confidentiality of reporting, limited information is available regarding this incident",Stalking,No Investigation Referred to Title IX Coordinator,1101 E. 56th St. (Max Palevsky RH),December 2018  Various times,1/22/19 9:01 AM,CSA Report    19-003
68,Report of harassing telephone calls from an unknown person,Harassment by Telephone,Open,5815 S. Maryland (Mitchell Hospital),1/22/19 12:05 AM to 5:20 AM,1/22/19 9:54 AM,19-00069
69,"CPD and UCPD officers responded to calls of shots fired on the street off campus at 851 East 63rd Street / Upon arrival, officers found two people had suffered gunshot wounds / Victims were transported to UCMED by CFD EMS / CPD case JC125324",Information / Aggravated Battery,CPD,851 E. 63rd St. (Public Way),1/22/19 10:30 AM,1/22/19 10:35 AM,19-00070
70,"An individual walking, slipped on the icy sidewalk and fell striking her head on the pavement / CFD EMS transported the injured person to the hospital for treatment",Injured Person,Closed,1145 E. 58th St. (Sidewalk),1/22/19 4:20 PM,1/22/19 4:25 PM,19-00071
71,Individual reported an unknown person shot him as he walked off campus / Individual later admitted to CPD that the gunshot wound was self-inflicted / CPD case JC126694,Information,CPD,6159 S. Cottage Grove (Alley),1/23/19 12:15 PM,1/23/19 12:18 PM,19-00072
72,"An unknown subject, armed with a handgun, approached a person walking on the sidewalk off campus and demanded money / The victim handed cash to the suspect as a second person approached / The suspect demanded and took cash from the second person as well, before fleeing on foot / CPD case JC127341",Information / Armed Robbery,CPD,5136 S. Dorchester (Public Way),1/23/19 8:00 PM,1/23/19 8:03 PM,19-00075
73,An unauthorized subject was arrested by UCPD officer after ignoring repeated warnings that he was trespassing,Criminal Trespass to Land,Arrest,5656 S. Maryland (UCMED),1/24/19 1:30 AM,1/24/19 2:13 AM,19-00076
74,Information documenting unauthorized use of a computer,Information,Closed,924 E. 57th St. (BSLC),1/24/19 2:05 AM,1/24/19 12:04 PM,19-00077
75,An argument between mother and daughter became physical with both parties striking the other / Prosecution declined,Battery / Domestic,Ex. Cleared,5700 S. Maryland (CCD),1/25/19 9:35 AM,1/25/19 9:47 AM,19-00078
76,Victim's cell phone and attached card holder taken by unknown person / Subsequent unauthorized use of credit card reported,Theft,Open,900 E. 57th St. (Knapp Center),1/24/19 5:20 PM to 5:35 PM,1/25/19 11:32 AM,19-00079
77,"Suspect, armed with a handgun, took two necklaces from two victims walking on the street off campus / CPD case JC129886",Information / Armed Robbery,CPD,5411 S. Woodlawn (Public Way),1/25/19 9:05 PM,1/25/19 9:25 PM,19-00080
78,"Unknown person used a sharp object to scratch (""key"") doors of a car parked at the curb",Criminal Damage to Vehicle,Open,5656 S. Drexel (Public Way),1/18/19 2:45 to 9:45 PM,1/25/19 10:06 PM,19-00081
79,Underage individual became ill after consuming alcoholic beverages / Transported to UCMED by CFD Ems for evaluation and treatment,Liquor Law Violation,Referred,6031 S. Ellis (Granville-Grossman RH),1/25/19 10:34 PM,1/25/19 10:34 PM,19-00082
80,Patient threatened staff member with bodily harm / Suspect left before UCPD was notified,Assault,Open,800 E. 55th St. (Friend Center),1/26/19 10:45 AM,1/26/19 11:43 AM,19-00083
81,Suspect displayed a handgun and took cash from a victim on the street off campus and fled / UCPD officers located and detained the suspect / Handgun recovered by UCPD / Suspect turned over to CPD and charged with armed robbery / CPD case JC130422,Information / Armed Robbery,CPD,5700 S. Harper (Public Way),1/26/19 12:40 PM,1/26/19 12:40 PM,19-00084
82,"During an argument, one subject threatened the other with bodily harm / Victim declined prosecution",Assault,Ex. Cleared,5721 S. Maryland (Comer Hospital),1/26/19 4:20 PM,1/26/19 4:28 PM,19-00085
83,Underage individual became ill after consuming alcoholic beverages / Examined on scene by CFD EMS,Liquor Law Violation,Referred,5500 S. University (Campus North RH),1/27/19 12:53 AM,1/27/19 12:53 AM,19-00086
84,Underage individual became ill after consuming alcoholic beverages / Transported to UCMED by CFD EMS for evaluation and treatment,Liquor Law Violation,Referred,5700 S. Stony Island (5700 Stony Island RH),1/27/19 1:48 AM,1/27/19 1:48 AM,19-00087
85,Underage individual became ill after consuming alcoholic beverages / Transported to UCMED by CFD EMS for evaluation and treatment,Liquor Law Violation,Referred,6031 S. Ellis (Granville-Grossman RH),1/27/19 2:19 AM,1/27/19 2:19 AM,19-00088
86,An individual reports losing a cell phone while in the building,Lost Property,Closed,5811 S. Ellis (Cobb Hall),1/27/19 10:00 AM to 11:30 AM,1/27/19 2:53 PM,19-00089
87,CPD and UCPD officers responded to a call of shots fired off campus / Several shell casings were found / No injuries or property damage was reported / CPD case JC131686,Shots Fired,CPD,940 E. 41st St.  (Public Way),1/27/19 5:20 PM,1/27/19 5:21 PM,19-00090
88,"Three unknown suspects, armed with handguns, took property from a victim on the street off campus / Suspects fled the scene in the victim's vehicle / CPD case JC131840",Information / Armed Robbery,CPD,5201 S. University (Public Way),1/27/19 7:40 PM,1/27/19 7:53 PM,19-00091
89,An individual reported losing UC ID card,Lost Property,Closed,5900 S. Ellis,1/28/19 8:40 AM,1/28/19 9:58 AM,19-00093
90,Information re. a social media message,Information,Closed,1307 E. 60th St. (Keller Center),1/27/19 10:15 PM,1/28/19 1:56 PM,19-00094
91,Unknown person scrawled graffiti on wall of stall in men's basement restroom,Criminal Damage to Property,Open,5835 S. Greenwood (Stuart Hall),1/29/19 11:36 AM,1/29/19 11:36 AM,19-00095
92,A motorist backed into a pole damaging an electrical box / 2019 MVA 00022,Traffic Crash,Closed,5721 S. Maryland,1/29/19 10:05 AM,1/29/19 10:08 AM,19-00096
93,Credit/debit cards and cash taken from wallet left in unsecured locker in women's locker room / Suspect was identified and had possession of the victim's card / Arrested by UCPD / Refer to 19-00193,Theft,Arrest,5530 S. Ellis (Ratner A.C.),1/29/19 10:05 AM to 10:20 AM,1/29/19 2:08 PM,19-00097
94,A set of 7 keys found and turned over to UCPD for safekeeping,Found Property,Closed,5500 S. University (Campus North RH),1/29/19 3:58 PM,1/29/19 3:58 PM,19-00098
95,Unknown person entered a resident's room and spilled an unknown liquid substance on the seat of a chair,Criminal Damage to Property,Open,5500 S. University (Campus North RH),1/27/19 to 1/28/19 11:00 AM to 12:00 AM,1/29/19 3:54 PM,19-00099
96,"Jacket, with Ventra card in pocket, taken from back of a chair by unknown person / Unauthorized use of Ventra card reported",Theft,Open,929 E. 57th St. (Gordon Center),1/30/19 10:00 AM to 3:30 PM,1/30/19 4:13 PM,19-00102
97,A contract employee reports receiving disturbing phone calls from a former co-worker,Information,Closed,1101 E. 56th St. (Max Palevsky RH),1/30/19 to 1/31/19 11:15 AM to 7:20 AM,1/31/19 10:16 AM,19-00104
98,"DSS was notified by a Campus Security Authority that an undisclosed victim reported being stalked on campus by a known individual / Due to confidentiality of reporting, limited information is available regarding this incident",Stalking,No Investigation Referred to Title IX Coordinator,5730 S. Ellis (Crerar Library),9/25/18 and various other dates,2/1/19 1:39 PM,CSA Report    19-005
99,Subject had been banned from the off campus property / Store management declined prosecution / Subject transported to UCMED for mental evaluation,Criminal Trespass to Land,Ex. Cleared,1554 E. 55th St. (Walgreens),2/1/19 8:44 PM,2/1/19 8:44 PM,19-00107
100,An underage individual became ill after consuming alcoholic beverages / Transported to UCMED by CFD EMS for evaluation and treatment,Liquor Law Violation,Referred,5800 S. University (Public Way),2/2/19 12:59 AM,2/2/19 12:59 AM,19-00108
101,Staff member found a small amount of marijuana and turned it over to UCPD for proper disposal,Found Narcotics,Closed,5656 S. Maryland (UCMED),2/2/19 1:35 AM,2/2/19 1:35 AM,19-00109
102,A water pipe burst due to cold temperatures / CFD and Facilities responded,Information,Closed,5656 S. Maryland (Parking Structure),2/2/19 1:29 AM,2/2/19 1:29 AM,19-00110
103,A UCPD officer arrested a suspect for possession of cocaine,Possession of Narcotics,Arrest,1400 E. 53rd St. (Alley),2/2/19 4:54 PM,2/2/19 4:54 PM,19-00111
104,One victim walking on the sidewalk off campus suffered a gunshot wound to the shoulder / The victim saw an unknown suspect firing in his direction / A second victim sitting in a car off campus suffered a gunshot wound to the back when an unknown suspect walking on the sidewalk fired shots at the victim / CPD case JC138349,Information / Aggravated Battery,CPD,Lake Park between 45th & 46th,2/3/19 3:15 AM to 3:30 AM,2/3/19 6:00 AM,19-00112
105,A driver's license found on the sidewalk off campus was turned over to UCPD for safekeeping,Found Property,Closed,5300 S. Greenwood,2/3/19 4:49 PM,2/3/19 4:49 PM,19-00113
106,UCPD officer arrested a motorist for DUI,DUI,Arrest,5558 S. Cottage Grove,2/3/19 9:05 PM,2/3/19 9:05 PM,19-00114
107,An individual was transported to UCMED for evaluation,Mental Health Transport,Closed,5555 S. Woodlawn (Student Counseling Center),2/4/19 12:04 PM,2/4/19 12:04 PM,19-00115
108,"Unattended, unsecured backpack containing a MacBook laptop taken from a room",Theft,Open,5640 S. University (Bartlett Commons),2/1/19 8:00 PM to 9:00 PM,2/4/19 1:24 PM,19-00116
109,"DSS was notified by a Campus Security Authority that an undisclosed victim reported being stalked on campus by a known individual / Due to confidentiality of reporting, limited information is available regarding this incident",Stalking,No Investigation Referred to Title IX Coordinator,5530 S. Ellis (Ratner A.C.),11/5/18 and various other dates,2/4/19 1:49 PM,CSA Report    19-007
110,Student fell in playground and struck head on the ground /Transported to Comer ER by CFD EMS for evaluation and treatment,Injured Person,Closed,5800 S. Stony Island (Earl Shapiro Hall),2/4/19 11:45 AM,2/4/19 2:30 PM,19-00117
111,Two family members involved in an argument struck each other / Charges withheld pending further investigation,Battery / Domestic,Open,800 E. 55th St. (Friend Center),2/4/19 3:30 PM,2/4/19 3:49 PM,19-00118
112,A former employee was advised to leave the building by security,Information,Closed,5800 S. Stony Island (Earl Shapiro Hall),2/4/19 8:30 AM,2/4/19 8:30 AM,19-00119
113,An individual found a wallet on the sidewalk near a CTA bus stop and turned the property over to UCPD for safekeeping,Found Property,Closed,5300 S. Woodlawn (Public Way),2/4/19 8:03 PM,2/4/19 8:03 PM,19-00120
114,Unsecured iPhone taken from patient's room,Theft,Open,5841 S. Maryland (Mitchell Hospital),2/2/19 7:00 AM to 4:30 PM,2/5/19 10:58 AM,19-00121
115,Wallet taken from purse placed on a chair next to the victim in 2nd floor DCAM caf� / Subsequent unauthorized use of debit card reported,Theft,Open,5758 S. Maryland (DCAM),2/5/19 12:00 PM to 1:00 PM,2/5/19 4:00 PM,19-00122
116,Suspects took an item of clothing from the store and fled / Suspect detained by UCPD and identified by retailer / Complainant declined to press charges / Suspect released,Theft,Ex. Cleared,1506 E. 53rd St. (Retail),2/5/19 7:15 PM,2/5/19 7:19 PM,19-00123
117,Individual reports losing an iPhone from his pocket while on the public way between 58th & 59th on S. Ellis,Lost Property,Closed,58th - 59th Ellis,2/6/19 11:25 AM to 11:30 AM,2/6/19 2:09 PM,19-00125
118,"An unauthorized subject disregarded previous warnings, both written and oral, not to trespass on UC property / Suspect arrested by UCPD",Criminal Trespass to Land,Arrest,5800 S. Greenwood (Main Quad),2/6/19 3:53 PM,2/6/19 3:53 PM,19-00126
119,A staff member found a small baggie of marijuana in a conference room / Turned over to UCPD for proper disposal,Found Narcotics,Closed,1452 E. 53rd St. (Polsky Center),2/6/19 4:32 PM,2/6/19 4:32 PM,19-00127
120,"During the course of an argument, boyfriend choked girlfriend / Suspect fled the scene prior to notification to UCPD",Domestic Battery,Open,5815 S. Maryland (Mitchell Hospital),2/6/19 8:30 PM,2/6/19 10:42 PM,19-00128
121,"An individual walking down the front exterior steps of the building, slipped and fell to the pavement injuring his right shoulder / Transported to UCMED for evaluation and treatment",Injured Person,Closed,1025 E. 58th St. (Swift Hall),2/7/19 12:20 PM,2/7/19 12:30 PM,19-00129
122,Delayed Report - Victim sitting in his car off campus was approached by an unknown subject who implied he had a weapon (no weapon seen) and demanded property / The suspect took cash and a cell phone from the victim before fleeing on foot / Referred to CPD,Information / Aggravated Robbery,Referred,5200 S. Lake Park (Public Way),2/6/19 3:00 PM,2/7/19 12:58 PM,19-00130
123,Sick person transported to Comer Hospital by CFD EMS for treatment,Medical Call,Closed,1362 E. 59th St. (Laboratory School),2/7/19 2:25 PM,2/7/19 2:51 PM,19-00131
124,An unknown motorist was observed driving in a reckless manner on the grassy area between 59th St. and Midway Plaisance / Suspect fled before UCPD was called,Reckless Driving,Open,1369 E. 59th St. (Park Property),2/7/19 4:02 PM,2/7/19 4:02 PM,19-00132
125,"Two subjects, one armed with a handgun, took a backpack from a person walking on the sidewalk off campus / CPD case JC144345",Information / Armed Robbery,CPD,5400 S. Kimbark (Public Way),2/8/19 12:40 AM,2/8/19 12:47 AM,19-00134
126,A messenger bag was taken from the rear seat of an unsecured car parked on the street,Theft,Open,5610 S. University (Public Way),2/8/19 7:00 AM to 9:00 AM,2/8/19 10:00 AM,19-00135
127,An unauthorized individual was observed in the building / Subject left before UCPD was notified,Information,Closed,5706 S. University (Reynolds Club),2/6/19 to 2/7/19 11:30 PM to 12:30 AM,2/8/19 11:16 AM,19-00136
128,"Wallet taken from an unattended, unsecured backpack left in student lounge",Theft,Open,1101 E. 56th St. (Max Palevsky RH),2/7/19 to 2/8/19 8:00 PM to 5:00 AM,2/8/19 2:15 PM,19-00137
129,An underage individual became ill after consuming alcoholic beverages / Transported to UCMED by CFD EMS for evaluation and treatment,Liquor Law Violation,Referred,6031 S. Ellis (Granville-Grossman RH),2/8/19 11:28 PM,2/8/19 11:28 PM,19-00138
130,Individual was transported to UCMED for evaluation,Mental Health Transport,Closed,1005 E. 60th St. (Burton-Judson RH),2/9/19 2:59 AM,2/9/19 2:59 AM,19-00139
131,Unknown person(s) entered off campus private apartment and took computers and other electronics / CPD case JC146679,Information / Burglary,CPD,"61st St, between Ingleside & Ellis",2/9/19 5:10 PM to 9:35 PM,2/9/19 10:09 PM,19-00140
132,Contract employee fell on slippery sidewalk and injured his right ankle / Transported to UCMED by CFD EMS for treatment,Injured Person,Closed,5630 S. University (Public Way),2/10/19 5:00 PM,2/10/19 5:04 PM,19-00141
133,Unknown person(s) entered off campus private apartment while resident was away and took property / CPD case,Information / Burglary,CPD,Drexel between 61st & 62nd,2/10/19 2:00 PM to 7:38 PM,2/10/19 7:38 PM,19-00142
134,Staff member found a wallet and turned it over to UCPD / Owner contacted,Found Property,Closed,5811 S. Ellis (Cobb Hall),2/10/19 8:00 PM,2/11/19 8:30 AM,19-00143
135,"Unattended, unsecured purse taken from closet in patient's room",Theft,Open,5700 S. Maryland (CCD),2/7/19 to 2/8/19  3:00 PM to 11:00 AM,2/11/19 9:33 AM,19-00144
